EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:52 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,MortFleetGroup

timestep,fleet,group,value
63,3,41,0.03451179
63,3,45,0.005274914
64,1,22,0.08660508
64,2,7,0.0001891398
64,3,15,0.0003369485
64,3,20,0.0001545894
64,3,41,0.03451179
64,3,45,0.005274914
65,1,22,0.08660508
65,2,7,0.0001891398
65,3,15,0.0003369485
65,3,20,0.0001545894
65,3,41,0.03451179
65,3,45,0.005274914
66,1,22,0.08660508
66,2,7,0.0001891398
66,3,15,0.0003369485
66,3,20,0.0001545894
66,3,41,0.03451179
66,3,45,0.005274914
67,1,22,0.08660508
67,2,7,0.0001891398
67,3,15,0.0003369485
67,3,20,0.0001545894
67,3,41,0.03451179
67,3,45,0.005274914
68,1,22,0.08660508
68,2,7,0.0001891398
68,3,15,0.0003369485
68,3,20,0.0001545894
68,3,41,0.03451179
68,3,45,0.005274914
69,1,22,0.08660508
69,2,7,0.0001891398
69,3,15,0.0003369485
69,3,20,0.0001545894
69,3,41,0.03451179
69,3,45,0.005274914
70,1,22,0.08660508
70,2,7,0.0001891398
70,3,15,0.0003369485
70,3,20,0.0001545894
70,3,41,0.03451179
70,3,45,0.005274914
71,1,22,0.08660508
71,2,7,0.0001891398
71,3,15,0.0003369485
71,3,20,0.0001545894
71,3,41,0.03451179
71,3,45,0.005274914
72,1,22,0.08660508
72,2,7,0.0001891398
72,3,15,0.0003369485
72,3,20,0.0001545894
72,3,41,0.03451179
72,3,45,0.005274914
73,1,22,0.08660508
73,2,7,0.0001891398
73,3,15,0.0003369485
73,3,20,0.0001545894
73,3,41,0.03451179
73,3,45,0.005274914
74,1,22,0.08660508
74,2,7,0.0001891398
74,3,15,0.0003369485
74,3,20,0.0001545894
74,3,41,0.03451179
74,3,45,0.005274914
75,1,22,0.08660508
75,2,7,0.0001891398
75,3,15,0.0003369485
75,3,20,0.0001545894
75,3,41,0.03451179
75,3,45,0.005274914
76,1,22,0.08660508
76,2,7,0.0001891398
76,3,15,0.0003369485
76,3,20,0.0001545894
76,3,41,0.03451179
76,3,45,0.005274914
77,1,22,0.08660508
77,2,7,0.0001891398
77,3,15,0.0003369485
77,3,20,0.0001545894
77,3,41,0.03451179
77,3,45,0.005274914
78,1,22,0.08660508
78,2,7,0.0001891398
78,3,15,0.0003369485
78,3,20,0.0001545894
78,3,41,0.03451179
78,3,45,0.005274914
79,1,22,0.08660508
79,2,7,0.0001891398
79,3,15,0.0003369485
79,3,20,0.0001545894
79,3,41,0.03451179
79,3,45,0.005274914
80,1,22,0.08660508
80,2,7,0.0001891398
80,3,15,0.0003369485
